#,In cue,Out cue,Duration,Speaker,Language,Dialogue,Annotations,Error Type,Transcript,selectable
1,00:01:37:20,00:01:38:05,00:00:00:15,Teacher E,English,"Hey, guys.",,,a,
2,00:01:38:07,00:01:43:20,00:00:05:13,Teacher E,English,I'm noticing that some of the warm-ups have a typo.,,,a,
3,00:01:44:06,00:01:46:22,00:00:02:16,Teacher E,English,The first one was supposed to be ten.,,,a,
4,00:01:46:24,00:01:48:29,00:00:02:05,Teacher E,English,So if you have a warm-up that says...,,,a,
5,00:01:49:01,00:01:51:22,00:00:02:21,Teacher E,English,Cause I printed these on multiple different paper.,,,a,
6,00:01:51:24,00:01:55:24,00:00:04:00,Teacher E,English,"Most of you are fine, but there's a couple of people out there who have a paper that says a hundred.",,,a,
7,00:01:55:26,00:01:57:16,00:00:01:20,Teacher E,English,There's an extra zero on it.,,,a,
8,00:01:58:13,00:02:01:08,00:00:02:23,Teacher E,English,"So, sorry if I gave you that paper.",,,a,
9,00:02:01:10,00:02:05:09,00:00:03:29,Teacher E,English,"If yours says a hundred, please change that first number for ten.",,,a,
10,00:02:05:11,00:02:07:19,00:00:02:08,Teacher E,English,"It's not supposed to say a hundred, it's supposed to say ten. ",,,a,
11,00:02:08:00,00:02:08:16,00:00:00:16,Teacher E,English,Okay?,,,a,
12,00:02:08:18,00:02:10:28,00:00:02:10,Teacher E,English,"So, please check that before you continue your warm-up.",,,a,
13,00:02:11:00,00:02:11:13,00:00:00:13,Teacher E,English,Cause that is...,,,a,
14,00:02:18:20,00:02:22:17,00:00:03:27,Teacher E,English,So you have another minute to see if you can figure out what the rule is.,,,a,
15,00:02:22:19,00:02:23:25,00:00:01:06,Teacher E,English,I'm coming around to check.,,,a,
16,00:02:34:00,00:02:35:04,00:00:01:04,Student E3,English,What do you think the answer is?,,,a,
17,00:02:35:15,00:02:35:24,00:00:00:09,Student E1,English,Hm?,,,a,
18,00:02:35:26,00:02:37:07,00:00:01:11,Student E3,English,What do you think the answer is?,,,a,
19,00:02:37:13,00:02:38:17,00:00:01:04,Student E1,English,Three times.,,,a,
20,00:02:40:06,00:02:40:23,00:00:00:17,Student E3,English,Me too.,,,a,
21,00:02:43:10,00:02:47:12,00:00:04:02,Student E1,English,"Yeah, 'cause I got a hundred on here, but I crossed it off.",,,a,
22,00:02:48:18,00:02:48:28,00:00:00:10,Student E3,English,Right.,,,a,
23,00:02:52:10,00:02:54:29,00:00:02:19,Student E3,English,I had the ten here.,,,a,
24,00:03:03:18,00:03:04:16,00:00:00:28,Student E3,English,I'm on decimals.,,,a,
25,00:03:04:23,00:03:05:06,00:00:00:13,Teacher E,English,Great news.,,,a,
26,00:03:05:08,00:03:05:23,00:00:00:15,Teacher E,English,"Okay, good.",,,a,
27,00:03:05:24,00:03:07:03,00:00:01:09,Teacher E,English,And you did times three?,,,a,
28,00:03:07:05,00:03:07:12,00:00:00:07,Teacher E,English,Okay.,,,a,
29,00:03:07:14,00:03:08:01,00:00:00:17,Teacher E,English,And you did...?,,,a,
30,00:03:10:16,00:03:11:03,00:00:00:17,Student E1,English,I'm still trying to [unintelligible].,,,a,
