#,In cue,Out cue,Duration,Speaker,Language,Dialogue,Annotations,Error Type,Transcript,selectable
276,00:12:52:19,00:12:53:15,00:00:00:26,Student A16,English,One...,,,a,yes
277,00:12:53:17,00:12:54:16,00:00:00:29,Student A9,English,"No, [unintelligible] works.",,,a,yes
278,00:12:54:18,00:12:55:23,00:00:01:05,Student A9,English,They always like us doing [unintelligible].,,,a,yes
279,00:12:55:25,00:12:57:14,00:00:01:19,Student A9,English,And then it would be T at the end.,,,a,yes
280,00:12:57:24,00:12:58:21,00:00:00:27,Student A16,English,I'm sorry.,,,a,yes
281,00:12:58:23,00:12:59:27,00:00:01:04,Student A9,English,And what would be the last one?,,,a,yes
282,00:12:59:29,00:13:00:23,00:00:00:22,Student A9,English,I forget.,,,a,yes
283,00:13:02:01,00:13:02:23,00:00:00:22,Student A9,English,What would it be?,,,a,yes
284,00:13:06:21,00:13:07:16,00:00:00:25,Student A9,English,"Would it be, like...?",,,a,yes
285,00:13:08:02,00:13:08:22,00:00:00:20,Student A16,English,I need help.,,,a,yes
286,00:13:10:11,00:13:11:05,00:00:00:24,Student A16,English,What's her name?,,,a,yes
287,00:13:11:07,00:13:11:22,00:00:00:15,Student A9,English,[Teacher A].,,,a,yes
288,00:13:11:24,00:13:12:14,00:00:00:20,Student A16,English,[Teacher A].,,,a,yes
289,00:13:15:06,00:13:17:00,00:00:01:24,Student A16,English,"I don't know because we did the [crosstalk] thing, but I got this.",,,a,yes
290,00:13:17:02,00:13:19:00,00:00:01:28,Student A9,English,"No, it's gonna work because it always...",,,a,yes
291,00:13:20:03,00:13:23:06,00:00:03:03,Student A9,English,"Yes, it works because it's just a weird, long number.",,,a,yes
292,00:13:23:26,00:13:27:20,00:00:03:24,Student A9,English,Or we can just do one point twelve.,,,a,yes
293,00:13:28:21,00:13:30:19,00:00:01:28,Student A9,English,"No, one point eighteen, right?",,,a,yes
294,00:13:31:07,00:13:32:06,00:00:00:29,Student A16,English,I don't know.,,,a,yes
295,00:13:34:24,00:13:37:04,00:00:02:10,Speaker 1,English,[unintelligible].,,,a,no
296,00:13:42:26,00:13:43:29,00:00:01:03,Student A16,English,No.,,,a,yes
297,00:13:45:01,00:13:47:01,00:00:02:00,Student A16,English,It's in [unintelligible] divided by...,,,a,yes
298,00:13:49:20,00:13:50:17,00:00:00:27,Student A9,English,Yeah.,,,a,yes
299,00:13:52:24,00:13:54:00,00:00:01:06,Student A1,English,I'm made it curve.,,,a,yes
300,00:13:58:01,00:13:58:22,00:00:00:21,Student A1,English,Okay.,,,a,yes
301,00:13:59:26,00:14:01:18,00:00:01:20,Student A16,English,"Oh, I did the wrong thing, sorry.",,,a,yes
302,00:14:01:20,00:14:03:25,00:00:02:05,Student A9,English,I just realized what we were supposed to do.,,,a,yes
303,00:14:04:00,00:14:06:14,00:00:02:14,Student A9,English,"Yeah, we have to find the eighteen-percent tip.",,,a,yes
304,00:14:07:13,00:14:08:26,00:00:01:13,Student A16,English,"Yeah, yeah.",,,a,yes
305,00:14:08:28,00:14:09:19,00:00:00:21,Student A9,English,"Oh, I understand it now.",,,a,yes
306,00:14:09:21,00:14:16:27,00:00:07:06,Student A16,English,One point nineteen divided by oh point oh seven.,,,a,yes
307,00:14:19:03,00:14:19:27,00:00:00:24,Student A16,English,Yeah.,,,a,yes
308,00:14:20:13,00:14:21:17,00:00:01:04,Student A9,English,What did you get?,,,a,yes
309,00:14:22:21,00:14:23:26,00:00:01:05,Student A16,English,It's this.,,,a,yes
310,00:14:25:11,00:14:31:10,00:00:05:29,Student A9,English,"Oh, wait, yeah, because it's [unintelligible] point nineteen divided by...",,,a,yes
311,00:14:31:12,00:14:32:19,00:00:01:07,Student A16,English,I'm so confused right now.,,,a,yes
312,00:14:33:02,00:14:35:25,00:00:02:23,Student A9,English,"No, it has to be one of those, like, weird numbers.",,,a,yes
313,00:14:36:24,00:14:37:19,00:00:00:25,Student A9,English,What did you get here?,,,a,yes
314,00:14:37:21,00:14:38:10,00:00:00:19,Student A1,English,Eighteen percent tip.,,,a,yes
315,00:14:38:12,00:14:39:01,00:00:00:19,Student A9,English,I got the same thing.,,,a,yes
316,00:14:40:10,00:14:41:02,00:00:00:22,Student A9,English,Yeah.,,,a,yes
317,00:14:41:04,00:14:43:17,00:00:02:13,Speaker 1,English,[unintelligible].,,,a,no
318,00:14:44:10,00:14:45:00,00:00:00:20,Student A16,English,"Yeah, I'm just...",,,a,yes
319,00:14:45:02,00:14:45:19,00:00:00:17,Speaker 1,English,[unintelligible].,,,a,no
320,00:14:45:21,00:14:46:17,00:00:00:26,Student A16,English,I'm really confused.,,,a,yes
321,00:14:47:09,00:14:48:21,00:00:01:12,Student A16,English,I don't know what I'm supposed to do with this.,,,a,yes
322,00:14:50:07,00:14:51:07,00:00:01:00,Student A16,English,"She's gonna help us, but...",,,a,yes
323,00:14:51:19,00:14:53:07,00:00:01:18,Student A9,English,She's helping other people; you can't [crosstalk].,,,a,yes
324,00:14:53:09,00:14:53:29,00:00:00:20,Student A16,English,Let's draw a table.,,,a,yes
325,00:14:54:02,00:14:54:21,00:00:00:19,Speaker 1,English,[unintelligible].,,,a,no
326,00:14:54:23,00:14:56:03,00:00:01:10,Student A9,English,"Yeah, draw the table.",,,a,yes
327,00:14:57:25,00:14:59:03,00:00:01:08,Student A9,English,"Oh, no [crosstalk].",,,a,yes
328,00:14:59:23,00:15:02:29,00:00:03:04,Student A9,English,All you gotta do is erase.,,,a,yes
329,00:15:04:05,00:15:04:18,00:00:00:13,Student A9,English,Look.,,,a,yes
330,00:15:06:21,00:15:09:10,00:00:02:19,Student A9,English,"Yeah, one hundred percent.",,,a,yes
331,00:15:10:05,00:15:10:26,00:00:00:21,Student A16,English,Yeah.,,,a,yes
332,00:15:10:28,00:15:11:28,00:00:01:00,Student A9,English,New would be eighteen.,,,a,yes
333,00:15:13:06,00:15:15:01,00:00:01:25,Student A9,English,"Wait, we can just find...",,,a,yes
334,00:15:16:02,00:15:20:27,00:00:04:25,Student A9,English,"Yeah, because one hundred minus eighteen...",,,a,yes
335,00:15:21:20,00:15:22:26,00:00:01:06,Student A9,English,"What would that be, [Student A16]?",,,a,yes
336,00:15:23:17,00:15:24:10,00:00:00:23,Student A16,English,What?,,,a,yes
337,00:15:24:12,00:15:25:08,00:00:00:25,Student A9,English,Eighty-two.,,,a,yes
338,00:15:25:19,00:15:26:19,00:00:01:00,Student A16,English,No.,,,a,yes
339,00:15:27:03,00:15:27:27,00:00:00:24,Student A16,English,[unintelligible].,,,a,yes
340,00:15:27:29,00:15:30:25,00:00:02:26,Student A9,English,"Eighty-two, so now we have to find eighty-two percent.",,,a,yes
341,00:15:31:11,00:15:34:24,00:00:03:13,Student A9,English,"So, do one hundred... Yeah.",,,a,yes
342,00:15:34:26,00:15:35:17,00:00:00:21,Student A16,English,And eighty.,,,a,yes
343,00:15:36:11,00:15:40:03,00:00:03:22,Student A9,English,It grand totals two point five three...,,,a,yes
344,00:15:40:19,00:15:42:13,00:00:01:24,Student A1,English,"Alright, I'm very confused.",,,a,yes
345,00:15:42:15,00:15:43:27,00:00:01:12,Student A16,English,[unintelligible] eighteen...,,,a,yes
346,00:15:45:01,00:15:46:15,00:00:01:14,Student A16,English,[Teacher A]!,,,a,yes
347,00:15:52:02,00:15:54:04,00:00:02:02,Student A16,English,"[Student A13], we need help.",,,a,yes
348,00:15:54:19,00:15:55:05,00:00:00:16,Student A9,English,Come here.,,,a,yes
349,00:15:55:07,00:15:56:27,00:00:01:20,Student A16,English,"Actually, no, we don't trust you.",,,a,yes
350,00:15:56:29,00:15:57:23,00:00:00:24,Student A16,English,I'm not asking [unintelligible].,,,a,yes
351,00:15:59:21,00:16:00:12,00:00:00:19,Student A9,English,"Oh, wait!",,,a,yes
352,00:16:01:17,00:16:03:07,00:00:01:20,Student A9,English,And then do eighty-two percent...,,,a,yes
353,00:16:03:09,00:16:05:01,00:00:01:22,Student A16,English,"Yeah, but I don't [unintelligible] how.",,,a,yes
354,00:16:05:17,00:16:06:22,00:00:01:05,Student A16,English,I just wanna learn.,,,a,yes
355,00:16:06:24,00:16:07:25,00:00:01:01,Student A16,English,"[Teacher A], we need help!",,,a,yes
356,00:16:11:04,00:16:12:00,00:00:00:26,Teacher A,English,"Yes, yes.",,,a,no
357,00:16:12:10,00:16:13:13,00:00:01:03,Student A9,English,"Please, don't tell me this is wrong.",,,a,yes
358,00:16:13:15,00:16:14:20,00:00:01:05,Student A16,English,How do I do this?,,,a,yes
359,00:16:14:23,00:16:16:04,00:00:01:11,Student A16,English,I'm confused.,,,a,yes
360,00:16:16:06,00:16:16:29,00:00:00:23,Teacher A,English,What happened?,,,a,no
361,00:16:17:15,00:16:21:04,00:00:03:19,Student A16,English,"I did new divided by oh for both of them, and I got a crazy number.",,,a,yes
362,00:16:21:12,00:16:22:13,00:00:01:01,Teacher A,English,Can you round?,,,a,no
363,00:16:24:29,00:16:26:23,00:00:01:24,Teacher A,English,What is that if we round?,,,a,no
364,00:16:26:25,00:16:27:16,00:00:00:21,Student A9,English,Point eighteen?,,,a,yes
365,00:16:27:18,00:16:28:09,00:00:00:21,Teacher A,English,Point eighteen.,,,a,no
366,00:16:29:13,00:16:30:27,00:00:01:14,Teacher A,English,So that is the eighteen [crosstalk].,,,a,no
367,00:16:30:29,00:16:32:13,00:00:01:14,Student A9,English,Point eighteen.,,,a,yes
368,00:16:33:05,00:16:33:19,00:00:00:14,Teacher A,English,Right?,,,a,no
369,00:16:33:21,00:16:36:12,00:00:02:21,Teacher A,English,So then your multiplier is point eighteen.,,,a,no
370,00:16:37:00,00:16:38:03,00:00:01:03,Student A9,English,So we do...?,,,a,yes
371,00:16:38:05,00:16:38:29,00:00:00:24,Teacher A,English,For here...,,,a,no
372,00:16:39:01,00:16:40:09,00:00:01:08,Student A9,English,Point eighteen T.,,,a,yes
373,00:16:40:11,00:16:42:22,00:00:02:11,Teacher A,English,And then the total with the tip.,,,a,no
374,00:16:43:17,00:16:44:07,00:00:00:20,Student A16,English,T.,,,a,yes
375,00:16:44:23,00:16:47:02,00:00:02:09,Student A9,English,And then it would be point eighteen.,,,a,yes
376,00:16:47:14,00:16:48:11,00:00:00:27,Teacher A,English,Alright.,,,a,no
377,00:16:49:12,00:16:51:27,00:00:02:15,Teacher A,English,"[Student A10], tell me what I would type right here.",,,a,no
378,00:16:52:09,00:16:55:08,00:00:02:29,Teacher A,English,What's my expression if I've got eighteen percent tip?,,,a,no
379,00:16:55:10,00:16:55:26,00:00:00:16,Student A9,English,Yeah.,,,a,yes
380,00:16:56:08,00:16:57:16,00:00:01:08,Student A16,English,[unintelligible] the last one?,,,a,yes
381,00:16:58:28,00:17:00:03,00:00:01:03,Student A9,English,Hold up; am I right?,,,a,yes
382,00:17:01:17,00:17:02:18,00:00:01:01,Student A9,English,"Ah, God dang it.",,,a,yes
383,00:17:03:04,00:17:09:02,00:00:05:28,Teacher A,English,"So, give me one of these, guys, if you also have zero point eighteen C, right?",,,a,no
384,00:17:09:04,00:17:09:23,00:00:00:19,Student A9,English,"Yep, I got that.",,,a,yes
385,00:17:09:25,00:17:12:29,00:00:03:04,Teacher A,English,What about my total with the tip?,,,a,no
386,00:17:13:11,00:17:14:23,00:00:01:12,Teacher A,English,"[unintelligible], what did you write?",,,a,no
387,00:17:16:13,00:17:18:00,00:00:01:17,Teacher A,English,"[unintelligible], what did you guys write right here?",,,a,no
388,00:17:18:02,00:17:19:03,00:00:01:01,Teacher A,English,"I think you got it, right?",,,a,no
389,00:17:23:21,00:17:25:09,00:00:01:18,Teacher A,English,One point eighteen T.,,,a,no
390,00:17:25:11,00:17:26:00,00:00:00:19,Student A16,English,Why'd we add a one there?,,,a,yes
391,00:17:26:02,00:17:29:29,00:00:03:27,Student A9,English,"Oh, wait, yeah, because it's eighteen T, that's the percentage...",,,a,yes
392,00:17:30:01,00:17:31:04,00:00:01:03,Student A16,English,AT&T?,,,a,yes
393,00:17:31:06,00:17:37:14,00:00:06:08,Student A9,English,"Yes, eighteen T, and then you know how before, like right here, it was point zero seven.",,,a,yes
394,00:17:37:16,00:17:38:29,00:00:01:13,Student A16,English,I'm trying to listen.,,,a,yes
395,00:17:39:01,00:17:40:07,00:00:01:06,Student A9,English,I'm trying to help you.,,,a,yes
396,00:17:40:27,00:17:42:13,00:00:01:16,Teacher A,English,Where did we get the one from?,,,a,no
397,00:17:42:15,00:17:44:06,00:00:01:21,Student A9,English,We got the one from...,,,a,yes
398,00:17:44:08,00:17:48:19,00:00:04:11,Student A9,English,"Say that, such as the last one, it was point zero seven, we did a one.",,,a,yes
399,00:17:48:21,00:17:54:22,00:00:06:01,Student A9,English,"So, then it would be one point eighteen T, just like the last one, because T would be one because that's the only reasonable number we would have.",,,a,yes
400,00:17:54:24,00:18:02:20,00:00:07:24,Teacher A,English,"Exactly, so you see, [Student A16], it's a hundred percent, and you add in the eighteen percent?",,,a,no
401,00:18:02:24,00:18:04:01,00:00:01:07,Student A16,English,"Oh, so it's one eighteen, alright.",,,a,yes
402,00:18:04:03,00:18:04:20,00:00:00:17,Student A9,English,Yes.,,,a,yes
403,00:18:04:22,00:18:06:22,00:00:02:00,Teacher A,English,"A hundred and eighteen, that's how we got the one.",,,a,no
404,00:18:06:24,00:18:10:19,00:00:03:25,Student A9,English,"Because it's a tax, we're giving more than what we need to.",,,a,yes
405,00:18:10:21,00:18:11:23,00:00:01:02,Teacher A,English,So now...,,,a,no
406,00:18:14:25,00:18:16:18,00:00:01:23,Teacher A,English,We're gonna do this twice.,,,a,no
407,00:18:19:15,00:18:20:03,00:00:00:18,Teacher A,English,So...,,,a,no
408,00:18:22:12,00:18:27:03,00:00:04:21,Teacher A,English,Read the slide to yourself silently; the whole slide.,,,a,no
409,00:18:38:22,00:18:43:24,00:00:05:02,Teacher A,English,"So, how much discount are you getting, [Student A15]?",,,a,no
410,00:18:46:07,00:18:47:11,00:00:01:04,Teacher A,English,What does it say?,,,a,no
411,00:18:47:13,00:18:49:14,00:00:02:01,Teacher A,English,Twenty percent off coupon.,,,a,no
412,00:18:49:16,00:18:51:04,00:00:01:18,Teacher A,English,How much are you paying...,,,a,no
413,00:18:51:06,00:18:52:09,00:00:01:03,Teacher A,English,[unintelligible] [Student A15].,,,a,no
414,00:18:52:11,00:18:54:10,00:00:01:29,Teacher A,English,How much are you paying in taxes?,,,a,no
415,00:18:59:12,00:19:08:08,00:00:08:24,Teacher A,English,"Excellent, and if it starts at fifteen dollars, you're gonna need to find out how much it costs after the coupon.",,,a,no
416,00:19:08:10,00:19:13:06,00:00:04:26,Teacher A,English,"And then how much it costs after the tax, so this is why you have a white board at your table.",,,a,no
417,00:19:13:08,00:19:19:24,00:00:06:16,Teacher A,English,"You're going to half-mast your computers, move them off kind of to the side.",,,a,no
418,00:19:20:27,00:19:26:09,00:00:05:12,Teacher A,English,"You have the problem on the board, and I wanna see all markers on the white board charts.",,,a,no
419,00:19:26:11,00:19:32:18,00:00:06:07,Teacher A,English,Let's make a table to figure out the twenty percent off coupon and then the tax rate being seven point five. Let's go.,,,a,no
420,00:19:32:20,00:19:36:15,00:00:03:25,Student A16,English,Twenty percent is three...,,,a,yes
421,00:19:36:20,00:19:39:04,00:00:02:14,Teacher A,English,"So, I better see teams working together.",,,a,no
422,00:19:39:27,00:19:40:22,00:00:00:25,Student A9,English,Twenty percent off.,,,a,yes
423,00:19:40:24,00:19:43:08,00:00:02:14,Student A16,English,Here is twelve.,,,a,yes
424,00:19:43:10,00:19:45:15,00:00:02:05,Student A1,English,"Yeah, it's twelve dollars.",,,a,yes
425,00:19:46:15,00:19:52:02,00:00:05:17,Student A16,English,"Okay, so twelve dollars is the subtotal, and then seven point five tax.",,,a,yes
426,00:19:52:04,00:19:55:07,00:00:03:03,Student A16,English,"So for tax, we just multiply.",,,a,yes
427,00:19:55:16,00:20:01:21,00:00:06:05,Student A16,English,"So, we do seven point five times...",,,a,yes
428,00:20:02:15,00:20:04:23,00:00:02:08,Student A16,English,"No, divided by a hundred; clear.",,,a,yes
429,00:20:05:12,00:20:16:17,00:00:11:05,Student A16,English,Seven point five divided by a hundred times twelve.,,,a,yes
430,00:20:18:13,00:20:20:01,00:00:01:18,Student A16,English,"Okay, so...",,,a,yes
431,00:20:21:07,00:20:24:22,00:00:03:15,Student A16,English,Twelve point nine; let's try that.,,,a,yes
432,00:20:28:20,00:20:48:14,00:00:19:24,Student A16,English,"Twenty percent times [unintelligible], so thirteen minus three is what?",,,a,yes
433,00:20:48:16,00:20:49:29,00:00:01:13,Student A14,English,How did we get twelve?,,,a,yes
434,00:20:50:01,00:20:56:00,00:00:05:29,Student A16,English,"Because twenty percent of fifteen is three, and it's a twenty percent off, so that's right.",,,a,yes
435,00:20:56:02,00:20:56:20,00:00:00:18,Student A1,English,Yeah.,,,a,yes
436,00:20:57:21,00:20:58:27,00:00:01:06,Student A9,English,Wait.,,,a,yes
437,00:20:59:11,00:21:00:06,00:00:00:23,Student A9,English,"Wait, I'm sort of...",,,a,yes
438,00:21:00:08,00:21:01:17,00:00:01:09,Student A1,English,But how do we find the tax?,,,a,yes
439,00:21:01:28,00:21:02:13,00:00:00:15,Student A9,English,You do the coupon.,,,a,yes
440,00:21:02:15,00:21:10:20,00:00:08:05,Student A16,English,"The tax rate is seven point five, so we do seven point five divided by a hundred, which is zero point seven...",,,a,yes
441,00:21:10:22,00:21:11:22,00:00:01:00,Student A9,English,"Oh, wait, I figured it out.",,,a,yes
442,00:21:11:24,00:21:12:16,00:00:00:22,Student A9,English,I figured out how to do it.,,,a,yes
443,00:21:12:18,00:21:13:05,00:00:00:17,Student A9,English,I'm so smart.,,,a,yes
444,00:21:14:00,00:21:23:19,00:00:09:19,Student A16,English,Seven point five divided by a hundred is zero point zero seven five.,,,a,yes
445,00:21:23:21,00:21:24:25,00:00:01:04,Student A1,English,I'm still confused.,,,a,yes
446,00:21:28:12,00:21:58:29,00:00:30:17,Student A16,English,"So, now we multiply zero point zero seven five by twelve, and we get zero point nine plus [unintelligible] we add...",,,a,yes
447,00:21:59:05,00:22:00:09,00:00:01:02,Student A9,English,You're doing so much extra.,,,a,yes
448,00:22:00:11,00:22:01:18,00:00:01:07,Student A9,English,All you really gotta do is...,,,a,yes
449,00:22:01:20,00:22:02:14,00:00:00:24,Student A9,English,Twelve.,,,a,yes
450,00:22:05:10,00:22:17:21,00:00:12:11,Student A16,English,[unintelligible] then we get [unintelligible].,,,a,yes
451,00:22:22:01,00:22:23:25,00:00:01:24,Student A9,English,"Oh, we're so good at this.",,,a,yes
452,00:22:25:08,00:22:26:05,00:00:00:27,Student A16,English,"Sure, class.",,,a,yes
453,00:22:26:07,00:22:27:21,00:00:01:14,Student A1,English,"Wait, it's twelve point...",,,a,yes
454,00:22:27:23,00:22:28:26,00:00:01:03,Student A16,English,I'm so good at this game.,,,a,yes
455,00:22:29:16,00:22:30:00,00:00:00:14,Student A1,English,I'm not.,,,a,yes
456,00:22:30:02,00:22:30:20,00:00:00:18,Student A9,English,We did it.,,,a,yes
457,00:22:31:20,00:22:39:16,00:00:07:26,Student A9,English,"All you had to do was find the twenty percent, which was one point five, it's ten percent, add those two, which is three dollars, so that's the twenty percent.",,,a,yes
458,00:22:39:18,00:22:40:26,00:00:01:08,Student A16,English,Or just do this.,,,a,yes
459,00:22:40:28,00:22:42:22,00:00:01:24,Student A9,English,"Yeah, but I did it better.",,,a,yes
460,00:22:42:27,00:22:44:06,00:00:01:09,Student A9,English,"Yeah, you just have to move the decimal once to the left to find the ten percent.",,,a,yes
461,00:22:44:08,00:22:47:27,00:00:03:19,Student A16,English,"It took me, like, two seconds to do it because I'm awesome.",,,a,yes
462,00:22:47:29,00:22:48:18,00:00:00:19,Student A9,English,It's not.,,,a,yes
463,00:22:49:25,00:22:53:27,00:00:04:02,Student A9,English,And then I did twelve percent of...,,,a,yes
464,00:22:54:03,00:22:57:00,00:00:02:27,Student A9,English,"And I did seven point five percent of twelve, which is point nine.",,,a,yes
465,00:22:57:02,00:23:00:02,00:00:02:28,Student A9,English,"And I just added it together to get my new, which is twelve point nine.",,,a,yes
466,00:23:00:07,00:23:00:19,00:00:00:12,Student A16,English,"Well, I did twenty percent of fifteen is three...",,,a,yes
467,00:23:00:21,00:23:02:10,00:00:01:19,Student A9,English,Which is a new total.,,,a,yes
468,00:23:02:12,00:23:05:25,00:00:03:13,Student A16,English,"So fifteen minus three, 'cause it's twenty percent off, is twelve.",,,a,yes
469,00:23:05:27,00:23:06:12,00:00:00:15,Student A9,English,[crosstalk].,,,a,yes
470,00:23:06:14,00:23:07:14,00:00:01:00,Teacher A,English,Can you two switch seats.,,,a,no
471,00:23:09:07,00:23:11:15,00:00:02:08,Teacher A,English,"Right now, this way.",,,a,no
472,00:23:11:23,00:23:15:19,00:00:03:26,Teacher A,English,"You guys do a really good job working together, but I want us all four to work together.",,,a,no
473,00:23:15:21,00:23:18:16,00:00:02:25,Teacher A,English,"So you are all going to be working together, but yes.",,,a,no
474,00:23:18:18,00:23:19:28,00:00:01:10,Teacher A,English,"So, that's your goal.",,,a,no
475,00:23:20:00,00:23:21:21,00:00:01:21,Teacher A,English,[unintelligible] a little bit more.,,,a,no
476,00:23:21:23,00:23:24:08,00:00:02:15,Teacher A,English,Thank you so much for moving [unintelligible].,,,a,no
477,00:23:24:10,00:23:26:07,00:00:01:27,Student A16,English,[unintelligible] want to sit next to Student A9.,,,a,yes
478,00:23:26:09,00:23:27:28,00:00:01:19,Teacher A,English,I know; that's the best seat.,,,a,no
479,00:23:28:00,00:23:29:03,00:00:01:03,Student A16,English,I can help her.,,,a,yes
480,00:23:29:05,00:23:30:05,00:00:01:00,Teacher A,English,Yeah.,,,a,no
481,00:23:32:23,00:23:33:28,00:00:01:05,Student A9,English,"[Student A1], do you understand it?",,,a,yes
482,00:23:34:00,00:23:34:26,00:00:00:26,Student A1,English,A little.,,,a,yes
483,00:23:37:21,00:23:40:08,00:00:02:17,Student A9,English,"Nah, just do it because you can help [Student A1], and I can help her.",,,a,yes
484,00:23:40:10,00:23:41:28,00:00:01:18,Student A16,English,Fine.,,,a,yes
485,00:23:43:03,00:23:44:19,00:00:01:16,Student A9,English,"Aw, don't get so ""angy.""",,,a,yes
486,00:23:51:01,00:23:54:08,00:00:03:07,Student A16,English,"Well, this says I'm done; there's no more slides to do.",,,a,yes
487,00:23:56:03,00:23:57:16,00:00:01:13,Student A9,English,Let me just check on my grades.,,,a,yes
488,00:23:57:18,00:23:58:22,00:00:01:04,Student A16,English,Are you checking your grades?,,,a,yes
489,00:23:58:24,00:23:59:25,00:00:01:01,Student A16,English,I'm going to do that too.,,,a,yes
490,00:24:00:18,00:24:03:06,00:00:02:18,Student A9,English,"[unintelligible], please, don't be so [unintelligible].",,,a,yes
491,00:24:04:26,00:24:05:28,00:00:01:02,Student A9,English,All is good.,,,a,yes
492,00:24:06:00,00:24:07:04,00:00:01:04,Student A16,English,[unintelligible] game of bubble tea.,,,a,yes
493,00:24:07:19,00:24:08:13,00:00:00:24,Student A9,English,"Bro, shut up.",,,a,yes
494,00:24:09:20,00:24:10:28,00:00:01:08,Student A16,English,[unintelligible].,,,a,yes
495,00:24:12:11,00:24:13:06,00:00:00:25,Student A9,English,Be quiet.,,,a,yes
496,00:24:14:05,00:24:16:16,00:00:02:11,Student A9,English,I was [unintelligible] locked in.,,,a,yes
497,00:24:18:07,00:24:18:29,00:00:00:22,Student A16,English,Okay.,,,a,yes
498,00:24:25:09,00:24:27:12,00:00:02:03,Student A16,English,Because of FPS you have to like...,,,a,yes
499,00:24:28:24,00:24:30:07,00:00:01:13,Student A1,English,[unintelligible].,,,a,yes
500,00:24:30:12,00:24:31:25,00:00:01:13,Student A16,English,[unintelligible].,,,a,yes
501,00:24:34:05,00:24:35:22,00:00:01:17,Student A16,English,[unintelligible].,,,a,yes
502,00:24:37:00,00:24:37:25,00:00:00:25,Student A16,English,Something like that.,,,a,yes
503,00:24:45:14,00:24:48:04,00:00:02:20,Student A16,English,"Oh, [unintelligible] just like that.",,,a,yes
504,00:24:51:08,00:24:51:21,00:00:00:13,Student A16,English,Stop.,,,a,yes
505,00:24:57:11,00:25:05:18,00:00:08:05,Student A16,English,"Absolutely, [unintelligible].",,,a,yes
506,00:25:06:02,00:25:09:06,00:00:03:04,Student A9,English,"Are you a straight-A student, Student A16?",,,a,yes
507,00:25:10:14,00:25:11:04,00:00:00:20,Student A16,English,I wouldn't say that.,,,a,yes
508,00:25:11:06,00:25:12:06,00:00:01:00,Student A16,English,Like I'm actually [unintelligible].,,,a,yes
509,00:25:12:08,00:25:13:16,00:00:01:08,Student A9,English,It's not that hard.,,,a,yes
510,00:25:13:24,00:25:17:01,00:00:03:07,Student A9,English,"Ten percent of twelve, wait, fifteen.",,,a,yes
511,00:25:17:22,00:25:19:16,00:00:01:24,Teacher A,English,I would like to see you all read your explanations to your neighbor.,,,a,no
512,00:25:19:18,00:25:21:03,00:00:01:15,Student A9,English,I understand it now.,,,a,yes
513,00:25:24:06,00:25:29:04,00:00:04:28,Teacher A,English,Whoever is closest to the window is gonna read it to whoever is closest to the board.,,,a,no
514,00:25:29:12,00:25:41:13,00:00:12:01,Teacher A,English,"If you do not have anything written yet, you are going to discuss and agree on what explanation, okay?",,,a,no
515,00:25:41:15,00:25:45:10,00:00:03:25,Teacher A,English,Whoever is closest to the window explains to whoever is closest to the board.,,,a,no
516,00:25:45:12,00:25:47:26,00:00:02:14,Teacher A,English,Go ahead and read your explanation.,,,a,no
517,00:25:47:28,00:25:56:06,00:00:08:08,Student A14,English,I said [unintelligible] the twenty percent off discount of the total [unintelligible].,,,a,yes
518,00:25:56:08,00:25:57:15,00:00:01:07,Student A1,English,"Oh, boba.",,,a,yes
519,00:25:57:18,00:26:00:15,00:00:02:25,Student A9,English,"Yeah, it's correct.",,,a,yes
520,00:26:00:17,00:26:02:00,00:00:01:13,Student A9,English,Twelve point nine: correct.,,,a,yes
521,00:26:06:24,00:26:11:06,00:00:04:12,Student A9,English,Do I share to [Student A14] after she shares to me?,,,a,yes
522,00:26:11:18,00:26:13:23,00:00:02:05,Student A9,English,"Alright, so I got twelve point nine.",,,a,yes
523,00:26:13:25,00:26:16:20,00:00:02:25,Student A9,English,"I did twenty percent of fifteen, which is three.",,,a,yes
524,00:26:16:22,00:26:20:29,00:00:04:07,Student A9,English,"All you gotta do is move the decimal over from fifteen to the left once, which should be one point five.",,,a,yes
525,00:26:21:01,00:26:24:13,00:00:03:12,Student A9,English,You add that together to get to [unintelligible]...,,,a,yes
526,00:26:24:15,00:26:28:17,00:00:04:02,Student A9,English,"And then you do twelve minus three, so you can get the discount, which is twelve.",,,a,yes
527,00:26:28:19,00:26:32:14,00:00:03:25,Student A9,English,"And then you do seven point five percent of twelve, and that is zero point nine.",,,a,yes
528,00:26:32:16,00:26:37:20,00:00:05:04,Student A9,English,And then I added twelve and point nine together to get twelve point nine as the total.,,,a,yes
529,00:26:37:22,00:26:40:09,00:00:02:17,Student A16,English,"...by twelve, okay, zero point nine and then...",,,a,yes
530,00:26:40:11,00:26:41:08,00:00:00:27,Student A16,English,You add it together.,,,a,yes
531,00:26:41:10,00:26:42:28,00:00:01:18,Student A9,English, Can I not submit this anymore?,,,a,yes
532,00:26:46:07,00:26:48:08,00:00:02:01,Student A16,English,[unintelligible].,,,a,yes
533,00:27:02:23,00:27:13:11,00:00:10:18,Student A16,English,"I'm insane, [unintelligible], I'm insane...",,,a,yes
534,00:27:15:08,00:27:16:18,00:00:01:10,Student A16,English,"Bro, I just got ambushed.",,,a,yes
535,00:27:18:12,00:27:19:10,00:00:00:28,Student A9,English,What are you doing?,,,a,yes
